index,theta,A,B,C,X,Y,Id,Iq
449,0.33,0.00,5.00,-2.00,-1.22,4.95,0.42,5.08
450,0.87,-3.00,5.00,0.00,-4.49,3.54,-0.22,5.71
451,1.39,-3.00,3.00,1.00,-4.08,1.41,0.67,4.27
452,1.98,-4.00,1.00,3.00,-4.90,-1.41,0.63,5.06
453,2.49,-1.00,0.00,4.00,-2.45,-2.83,0.21,3.74
454,3.03,0.00,-2.00,4.00,-0.82,-4.24,0.32,4.31
455,3.55,1.00,-3.00,3.00,0.82,-4.24,0.95,4.22
456,4.10,4.00,-3.00,1.00,4.08,-2.83,-0.01,4.97
457,4.64,4.00,-2.00,0.00,4.08,-1.41,1.14,4.17
458,5.17,4.00,0.00,-2.00,4.08,1.41,0.55,4.29
459,5.76,2.00,1.00,-3.00,2.45,2.83,0.69,3.68
460,6.27,1.00,3.00,-3.00,0.82,4.24,0.76,4.25
461,0.52,0.00,4.00,-1.00,-1.22,3.54,0.70,3.68
462,1.04,-2.00,4.00,0.00,-3.27,2.83,0.77,4.25
463,1.56,-3.00,3.00,2.00,-4.49,0.71,0.65,4.50
464,2.09,-3.00,1.00,4.00,-4.49,-2.12,0.40,4.95
465,2.60,-1.00,-1.00,4.00,-2.04,-3.54,-0.09,4.08
466,3.15,0.00,-3.00,4.00,-0.41,-4.95,0.44,4.95
467,3.66,2.00,-3.00,3.00,1.63,-4.24,0.67,4.50
468,4.18,4.00,-3.00,1.00,4.08,-2.83,0.36,4.95
469,4.68,5.00,-2.00,-1.00,5.31,-0.71,0.51,5.33
470,5.18,5.00,0.00,-3.00,5.31,2.12,0.53,5.69
471,5.68,3.00,2.00,-4.00,3.27,4.24,0.29,5.35
472,6.18,1.00,4.00,-4.00,0.82,5.66,0.22,5.71
473,0.42,-1.00,6.00,-2.00,-2.45,5.66,0.05,6.16
474,0.92,-3.00,5.00,0.00,-4.49,3.54,0.09,5.71
475,1.42,-4.00,3.00,2.00,-5.31,0.71,-0.11,5.35
476,1.90,-4.00,1.00,4.00,-5.31,-2.12,-0.31,5.71
477,2.38,-3.00,-1.00,6.00,-4.49,-4.95,-0.16,6.68
478,2.88,0.00,-3.00,6.00,-1.22,-6.36,-0.48,6.46
479,3.36,2.00,-5.00,4.00,2.04,-6.36,-0.64,6.65
480,3.88,5.00,-5.00,2.00,5.31,-4.95,-0.61,7.23
481,4.37,6.00,-3.00,0.00,6.12,-2.12,-0.03,6.48
482,4.85,6.00,0.00,-3.00,6.12,2.12,-1.28,6.35
483,5.34,5.00,1.00,-4.00,5.31,3.54,0.24,6.37
484,5.86,2.00,4.00,-5.00,2.04,6.36,-0.75,6.64
485,0.05,0.00,5.00,-4.00,-0.41,6.36,-0.10,6.38
486,0.54,-2.00,6.00,-1.00,-3.67,4.95,-0.61,6.13
