mag,encoder
1642,8005
1643,8007
1644,8005
1645,8009
1646,8013
1647,8011
1648,8011
1649,8017
1650,8015
1651,8017
1652,8020
1653,8020
1654,8022
1655,8022
1656,8024
1657,8023
1658,8028
1659,8030
1660,8030
1661,8030
1662,8033
1663,8032
1664,8036
1665,8037
1666,8039
1667,8044
1668,8042
1669,8043
1670,8046
1671,8048
1672,8051
1673,8047
1674,8054
1675,8054
1676,8056
1677,8059
1678,8062
1679,8060
1680,8061
1681,8066
1682,8068
1683,8070
1684,8068
1685,8072
1686,8073
1687,8076
1688,8075
1689,8077
1690,8079
1691,8083
1692,8086
1693,8086
1694,8088
1695,8088
1696,8088
1697,8090
1698,8093
1699,8090
1700,8091
1701,8091
1702,8091
1703,8090
1704,8090
1705,8088
1706,8090
1707,8087
1708,8088
1709,8091
1710,8091
1711,8091
1712,8092
1713,8093
1714,8094
1715,8094
1716,8097
1717,8095
1718,8095
1719,8099
1720,8099
1721,8101
1722,8104
1723,8102
1724,8103
1725,8104
1726,8106
1727,8106
1728,8108
1729,8111
1730,8115
1731,8112
1732,8112
1733,8115
1734,8117
1735,8118
1736,8117
1737,8119
1738,8120
1739,8119
1740,8124
1741,8123
1742,8125
1743,8124
1744,8127
1745,8129
1746,8129
1747,8133
1748,8131
1749,8132
1750,8134
1751,8134
1752,8134
1753,8135
1754,8139
1755,8137
1756,8142
1757,8141
1758,8143
1759,8145
1760,8145
1761,8146
1762,8147
1763,8147
1764,8151
1765,8150
1766,8156
1767,8152
1768,8156
1769,8156
1770,8159
1771,8157
1772,8160
1773,8160
1774,8161
1775,8160
1776,8166
1777,8166
1778,8165
1779,8167
1780,8170
1781,8168
1782,8170
1783,8170
1784,8174
1785,8176
1786,8173
1787,8176
1788,8180
1789,8179
1790,8177
1791,8182
1792,8180
1793,8182
1794,8183
1795,8185
1796,8184
1797,8187
1798,8186
1799,8187
1800,8190
1801,8188
1802,8193
1803,8192
1804,8194
1805,8196
1806,8195
1807,8198
1808,8198
1809,8198
1810,8198
1811,8198
1812,8198
1813,8199
1814,8207
1815,8203
1816,8207
1817,8208
1818,8209
1819,8209
1820,8209
1821,8213
1822,8212
1823,8214
1824,8211
1825,8215
1826,8216
1827,8217
1828,8221
1829,8218
1830,8221
1831,8220
1832,8223
1833,8225
1834,8227
1835,8230
1836,8226
1837,8231
1838,8231
1839,8237
1840,8238
1841,8234
1842,8238
1843,8236
1844,8239
1845,8240
1846,8244
1847,8245
1848,8244
1849,8249
1850,8246
1851,8251
1852,8251
1853,8249
1854,8252
1855,8255
1856,8257
1857,8256
1858,8256
1859,8259
1860,8258
1861,8259
1862,8264
1863,8264
1864,8263
1865,8266
1866,8267
1867,8269
1868,8267
1869,8272
1870,8274
1871,8275
1872,8277
1873,8278
1874,8278
1875,8280
1876,8279
1877,8281
1878,8287
1879,8287
1880,8280
1881,8286
1882,8285
1883,8285
1884,8284
1885,8287
1886,8283
1887,8284
1888,8283
1889,8285
1890,8284
1891,8286
1892,8286
1893,8284
1894,8286
1895,8284
1896,8286
1897,8291
1898,8292
1899,8291
1900,8292
1901,8295
1902,8295
1903,8296
1904,8300
1905,8300
1906,8299
1907,8301
1908,8300
1909,8306
1910,8308
1911,8308
1912,8311
1913,8316
1914,8312
1915,8312
1916,8318
1917,8321
1918,8319
1919,8324
1920,8323
1921,8325
1922,8324
1923,8331
1924,8332
1925,8334
1926,8331
1927,8335
1928,8336
1929,8337
1930,8340
1931,8341
1932,8341
1933,8344
1934,8346
1935,8349
1936,8347
1937,8348
1938,8347
1939,8349
1940,8353
1941,8354
1942,8354
1943,8354
1944,8357
1945,8359
1946,8360
1947,8360
1948,8358
1949,8361
1950,8362
1951,8367
1952,8364
1953,8368
1954,8368
1955,8371
1956,8370
1957,8372
1958,8370
1959,8375
1960,8377
1961,8376
1962,8378
1963,8376
1964,8380
1965,8379
1966,8382
1967,8384
1968,8384
1969,8384
1970,8386
1971,8387
1972,8384
1973,8388
1974,8389
1975,8391
1976,8392
1977,8393
1978,8395
1979,8399
1980,8397
1981,8398
1982,8399
1983,8399
1984,8400
1985,8403
1986,8406
1987,8406
1988,8405
1989,8409
1990,8409
1991,8412
1992,8408
1993,8414
1994,8415
1995,8415
1996,8414
1997,8421
1998,8421
1999,8424
2000,8426
2001,8426
2002,8425
2003,8426
2004,8430
2005,8432
2006,8437
2007,8435
2008,8435
2009,8439
2010,8443
2011,8442
2012,8444
2013,8445
2014,8447
2015,8449
2016,8450
2017,8452
2018,8455
2019,8460
2020,8460
2021,8462
2022,8462
2023,8464
2024,8468
2025,8467
2026,8467
2027,8471
2028,8471
2029,8474
2030,8480
2031,8475
2032,8477
2033,8479
2034,8482
2035,8483
2036,8486
2037,8485
2038,8485
2039,8487
2040,8485
2041,8484
2042,8485
2043,8486
2044,8485
2045,8484
2046,8484
2047,8483
2048,8485
2049,8488
2050,8486
2051,8490
2052,8490
2053,8490
2054,8490
2055,8490
2056,8488
2057,8491
2058,8488
2059,8493
2060,8497
2061,8496
2062,8498
2063,8496
2064,8500
2065,8502
2066,8505
2067,8500
2068,8505
2069,8506
2070,8507
2071,8511
2072,8508
2073,8510
2074,8511
2075,8511
2076,8514
2077,8513
2078,8519
2079,8514
2080,8518
2081,8519
2082,8521
2083,8520
2084,8520
2085,8525
2086,8526
2087,8528
2088,8526
2089,8527
2090,8526
2091,8533
2092,8532
2093,8532
2094,8531
2095,8536
2096,8536
2097,8539
2098,8539
2099,8540
2100,8541
2101,8544
2102,8541
2103,8544
2104,8544
2105,8545
2106,8551
2107,8548
2108,8550
2109,8551
2110,8553
2111,8554
2112,8555
2113,8559
2114,8555
2115,8558
2116,8556
2117,8562
2118,8561
2119,8561
2120,8564
2121,8565
2122,8565
2123,8567
2124,8569
2125,8567
2126,8573
2127,8570
2128,8572
2129,8573
2130,8575
2131,8576
2132,8575
2133,8577
2134,8578
2135,8582
2136,8582
2137,8582
2138,8582
2139,8588
2140,8586
2141,8581
2142,8588
2143,8589
2144,8588
2145,8590
2146,8592
2147,8593
2148,8592
2149,8592
2150,8596
2151,8599
2152,8598
2153,8600
2154,8598
2155,8602
2156,8602
2157,8605
2158,8606
2159,8605
2160,8605
2161,8606
2162,8610
2163,8610
2164,8613
2165,8615
2166,8616
2167,8616
2168,8618
2169,8618
2170,8618
2171,8619
2172,8620
2173,8622
2174,8625
2175,8624
2176,8624
2177,8628
2178,8629
2179,8631
2180,8631
2181,8634
2182,8633
2183,8635
2184,8639
2185,8639
2186,8643
2187,8637
2188,8642
2189,8641
2190,8646
2191,8644
2192,8646
2193,8651
2194,8651
2195,8656
2196,8654
2197,8656
2198,8657
2199,8656
2200,8659
2201,8660
2202,8663
2203,8663
2204,8663
2205,8666
2206,8663
2207,8663
2208,8667
2209,8668
2210,8670
2211,8670
2212,8671
2213,8671
2214,8677
2215,8675
2216,8674
2217,8677
2218,8681
2219,8678
2220,8682
2221,8682
2222,8683
2223,8682
2224,8684
2225,8685
2226,8682
2227,8682
2228,8683
2229,8682
2230,8684
2231,8681
2232,8684
2233,8682
2234,8686
2235,8682
2236,8688
2237,8686
2238,8686
2239,8684
2240,8688
2241,8685
2242,8690
2243,8691
2244,8692
2245,8692
2246,8694
2247,8695
2248,8698
2249,8700
2250,8703
2251,8704
2252,8707
2253,8709
2254,8706
2255,8709
2256,8711
2257,8711
2258,8713
2259,8714
2260,8717
2261,8721
2262,8722
2263,8722
2264,8725
2265,8727
2266,8728
2267,8732
2268,8729
2269,8732
2270,8730
2271,8736
2272,8732
2273,8737
2274,8739
2275,8738
2276,8743
2277,8744
2278,8744
2279,8746
2280,8748
2281,8748
2282,8750
2283,8751
2284,8753
2285,8753
2286,8754
2287,8754
2288,8758
2289,8760
2290,8760
2291,8761
2292,8762
2293,8763
2294,8761
2295,8767
2296,8766
2297,8766
2298,8770
2299,8770
2300,8772
2301,8772
2302,8772
2303,8773
2304,8773
2305,8773
2306,8777
2307,8774
2308,8779
2309,8778
2310,8781
2311,8781
2312,8784
2313,8785
2314,8784
2315,8791
2316,8787
2317,8788
2318,8789
2319,8790
2320,8790
2321,8793
2322,8791
2323,8795
2324,8795
