index,theta,A,B,C,X,Y,Id,Iq
193,6.06,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
194,6.20,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
195,0.04,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
196,0.18,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
197,0.31,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
198,0.44,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
199,0.57,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
200,0.72,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
201,0.83,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
202,0.96,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
203,1.11,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
204,1.26,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
205,1.37,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
206,1.51,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
207,1.67,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
208,1.81,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
209,1.91,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
210,2.04,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
211,2.16,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
212,2.27,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
213,2.39,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
214,2.53,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
215,2.65,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
216,2.77,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
217,2.88,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
218,3.03,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
219,3.12,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
220,3.26,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
221,3.39,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
222,3.51,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
223,3.64,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
224,3.77,-15.00,-15.00,-11.00,-1.63,-2.83,2.98,1.34
225,3.92,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
226,4.04,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
227,4.17,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
228,4.30,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
229,4.44,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
230,4.57,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
231,4.70,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
232,4.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
233,4.93,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
234,5.05,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
235,5.16,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
236,5.33,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
237,5.44,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
238,5.57,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
239,5.68,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
240,5.80,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
241,5.89,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
242,5.99,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
243,6.11,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
244,6.22,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
245,0.06,-15.00,-15.00,-16.00,0.41,0.71,0.45,0.68
246,0.21,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
247,0.34,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
248,0.47,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
249,0.60,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
250,0.69,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
251,0.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
252,0.93,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
253,1.06,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
254,1.17,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
255,1.28,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
256,1.40,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
257,1.53,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
