a,b,c,alpha,beta
263,-756,516,-56,95
149,-702,542,-56,95
71,-650,578,-56,95
-5,-618,614,-56,95
-22,-630,639,-56,95
-64,-607,667,-56,95
-119,-594,691,-56,95
-179,-551,719,-56,95
-244,-498,733,-56,95
-297,-484,740,-56,95
-339,-428,750,-56,95
-367,-368,756,-56,95
-469,-315,758,-56,95
-547,-223,749,-56,95
-623,-123,737,-56,95
-678,-66,719,-56,95
-708,-12,709,-56,95
-737,8,704,-56,95
-751,26,704,-56,95
-763,76,670,-56,95
-783,138,616,-56,95
-792,199,575,-56,95
-810,255,539,-56,95
-835,298,515,-56,95
-849,337,491,-56,95
-858,396,450,-56,95
-843,446,370,-56,95
-817,502,301,-56,95
-777,537,223,-56,95
-733,565,150,-56,95
-692,587,101,-56,95
-641,617,18,-56,95
-622,635,-27,-56,95
-601,662,-63,-56,95
-586,687,-106,-56,95
-554,713,-166,-56,95
-521,740,-213,-56,95
-476,742,-277,-56,95
-428,753,-325,-56,95
-371,753,-382,-56,95
-304,752,-451,-56,95
-232,760,-519,-56,95
-193,759,-588,-56,95
-112,746,-626,-56,95
-40,715,-672,-56,95
11,700,-697,-56,95
31,697,-714,-56,95
51,694,-740,-56,95
96,675,-752,-56,95
156,620,-768,-56,95
222,587,-783,-56,95
276,544,-798,-56,95
327,509,-820,-56,95
378,487,-864,-56,95
433,440,-857,-56,95
487,408,-853,-56,95
538,318,-824,-56,95
516,217,-774,-56,95
603,143,-717,-56,95
627,62,-667,-56,95
657,5,-642,-56,95
680,-12,-642,-56,95
698,-68,-617,-56,95
727,-128,-578,-56,95
749,-193,-528,-56,95
765,-251,-504,-56,95
788,-285,-469,-56,95
787,-338,-425,-56,95
804,-398,-376,-56,95
787,-470,-296,-56,95
775,-543,-211,-56,95
767,-606,-146,-56,95
773,-654,-92,-56,95
753,-693,-51,-56,95
724,-710,4,-56,95
698,-722,45,-56,95
673,-740,73,-56,95
649,-750,119,-56,95
615,-770,163,-56,95
582,-786,214,-56,95
533,-798,278,-56,95
498,-818,327,-56,95
461,-834,381,-56,95
376,-814,436,-56,95
324,-801,483,-56,95
260,-777,523,-56,95
163,-725,551,-56,95
89,-672,582,-56,95
10,-624,612,-56,95
-24,-625,629,-56,95
-50,-622,657,-56,95
-84,-608,689,-56,95
-158,-572,707,-56,95
-230,-513,728,-56,95
-280,-473,727,-56,95
-332,-441,745,-56,95
-381,-351,749,-56,95
-444,-324,753,-56,95
-444,-256,749,-56,95
-589,-163,739,-56,95
-661,-92,731,-56,95
-702,-26,710,-56,95
-722,7,704,-56,95
-741,18,692,-56,95
-748,38,695,-56,95
-767,88,666,-56,95
-778,153,607,-56,95
-793,214,564,-56,95
-813,269,516,-56,95
-836,318,491,-56,95
-842,365,464,-56,95
-843,422,401,-56,95
-828,480,337,-56,95
-796,521,251,-56,95
-752,556,188,-56,95
-715,574,135,-56,95
-677,592,77,-56,95
-620,618,0,-56,95
-611,629,-35,-56,95
-583,657,-81,-56,95
-559,687,-125,-56,95
-532,703,-184,-56,95
-498,727,-232,-56,95
-454,737,-279,-56,95
-404,736,-336,-56,95
-346,742,-389,-56,95
-286,743,-455,-56,95
-219,745,-529,-56,95
-147,747,-590,-56,95
-71,716,-643,-56,95
-10,699,-678,-56,95
21,688,-695,-56,95
39,674,-711,-56,95
76,659,-722,-56,95
126,635,-737,-56,95
187,580,-755,-56,95
258,532,-772,-56,95
315,498,-789,-56,95
367,455,-805,-56,95
415,435,-824,-56,95
458,396,-861,-56,95
521,324,-818,-56,95
561,241,-773,-56,95
588,155,-730,-56,95
614,94,-678,-56,95
633,32,-642,-56,95
660,-10,-627,-56,95
683,-51,-604,-56,95
704,-115,-574,-56,95
733,-170,-535,-56,95
751,-219,-513,-56,95
769,-264,-478,-56,95
776,-309,-444,-56,95
778,-340,-413,-56,95
775,-415,-336,-56,95
764,-502,-245,-56,95
758,-577,-159,-56,95
751,-629,-93,-56,95
736,-677,-52,-56,95
717,-695,0,-56,95
688,-701,33,-56,95
660,-716,62,-56,95
638,-729,107,-56,95
603,-743,158,-56,95
561,-774,206,-56,95
543,-780,251,-56,95
475,-799,304,-56,95
449,-806,363,-56,95
403,-812,418,-56,95
335,-810,466,-56,95
254,-765,514,-56,95
185,-726,546,-56,95
100,-675,568,-56,95
18,-617,596,-56,95
-22,-609,612,-56,95
-48,-600,637,-56,95
-89,-581,668,-56,95
-141,-565,689,-56,95
-205,-520,711,-56,95
